#F f0_WaasKirf.dat                                                           
#UT  Elastic Photon-Atom Scattering, relativistic form factors.              
#UF0TYPE PARAMETRIZATION ; TABLE OR PARAMETRIZATION? 
#UIDL xf0
#C   This file has been created using f0_WaasKirf.tcl 
#D   Tue Oct  1 14:37:14 CEST 2002
#C  This file belongs to the DABAX library. More information on
#C  DABAX can be found at:
#C  http://www.esrf.fr/computing/scientific/dabax
#UD  Elastic Photon-Atom Scattering, relativistic form factors.              
#UD                                                                          
#UD  This data set contains data calculated by D. Waasmaier & A. Kirfel.     
#UD  The original data is available from :                                   
#UD          ftp://wrzx02.rz.uni-wuerzburg.de/pub/local/Crystallography      
#UD  These data, computed for neutral atoms and ions are valid for the full  
#UD  range of sin(theta)/lambda from 0.0 to 6.0 A-1.This table have been     
#UD  developped from fits of o linear combination of five Gaussians to the   
#UD  values of the scattering factors tabulated in "International tables for 
#UD  Crystallography (1992) [Vol. C. Dordrecht: Kluwer Academic Publishers]. 
#UD  For a detailed discussion of the underlying validity of the             
#UD  information contained in these directories see, for example:            
#UD                                                                          
#UD          New Analytical Scattering Factor Functions for Free Atoms       
#UD                    and Ions for Free Atoms and Ions                      
#UD                       D. Waasmaier & A. Kirfel                           
#UD                    Acta Cryst. (1995). A51, 416-413                      
#UD                                                                          
#UD  fo the non-dispersive part of the atomic scattering factor is a	    
#UD  function of the selected element and of sin(theta)/lambda, where	    
#UD  lambda is the photon wavelengh and theta is incident angle.		    
#UD  This function can be approximated by a function:			    
#UD                                                                          
#UD    f0[k] = c + [SUM a_i*EXP(-b_i*(k^2)) ]				    
#UD                i=1,5							    
#UD                                                                          
#UD  where k = sin(theta) / lambda and c, a_i and b_i			    
#UD  are the coefficients tabulated in this file (in columns: 		    
#UD  a1  a2  a3  a4  a5  c  b1  b2  b3  b4  b5				    
#C                                                                           
#C    The original README fime from D. Waasmaier & A. Kirfel follows here :  
#C                                                                           
#UO                          April, 1995                                     
#UO                                                                          
#UO This directory contains the results of the publication:                  
#UO                                                                          
#UO    New Analytical Scattering Factor Functions for Free Atoms and Ions    
#UO                        D. Waasmaier & A. Kirfel                          
#UO                     Acta Cryst. (1995). A51, 416-413                     
#UO                                                                          
#UO - *.zip: A detailed compilation of all relevant results (one page per    
#UO      atom or ion) has been prepared in form of an 'atlas'. This atlas is    
#UO      stored in the postscript-files                                         
#UO      sfac10.zip - sfac98.zip for atoms with increasing atom number and      
#UO      sfaci1.zip - sfaci6.zip for ions, again with increasing atom number.   
#UO                                                                             
#UO - abstract.ps contains an extract of the publication refering to the atlas. 
#UO                                                                             
#UO - sfac.dat contains the new parameters ai, bi and c for all atoms and ions. 
#UO                                                                             
#UO      Fitparameters of all atoms/ions (with the excepetion of O1-)           
#UO      from publication "New Analytical Scattering Factor Functions for       
#UO      Free Atoms and Ions", D. Waasmaier & A. Kirfel, Acta Cryst. A 95       
#UO                                                                             
#UO      Fit for O1- based on the tabulated values of Table 2 (D.REZ,           
#UO      P.REZ & I.GRANT, Acta Cryst. (1994), A50, 481-497).                    
#UO                                                                             
#UO      Fits for all other atoms/ions based on the tabulated values            
#UO      of Table 6.1.1.1 (atoms) and Table 6.1.1.3 (ions)                      
#UO      (International Tables for Crystallography, Vol. C, 1992).              
#S  1  H
#N 11
#L a1  a2  a3  a4  a5  c  b1  b2  b3  b4  b5
  0.413048  0.294953  0.187491  0.080701  0.023736  0.000049  15.569946 32.398468  5.711404 61.889874  1.334118  
#S  1  H1-
#N 11
#L a1  a2  a3  a4  a5  c  b1  b2  b3  b4  b5
  0.702260  0.763666  0.248678  0.261323  0.023017  0.000425  23.945604 74.897919  6.773289 233.583450  1.337531  
#S  2  He
#N 11
